device_type,data_size,world_size,time_seconds
cpu,1MB,2,1.3709212630055845
cpu,1MB,4,1.7893155238125473
cpu,1MB,6,2.0546578289940953
cpu,10MB,2,1.7059517831075937
cpu,10MB,4,1.841302481945604
cpu,10MB,6,1.8655755119398236
cpu,100MB,2,1.6767434689681977
cpu,100MB,4,2.264638877939433
cpu,100MB,6,1.842765555018559
cpu,1GB,2,3.9154465650208294
cpu,1GB,4,4.559391108807176
cpu,1GB,6,5.117092179134488
